FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
G90255,2015070402,2015,Lightning,2015-G90255,366.40000000000003,2015 ROLLOVER,20150704,20150706183357,20150623,OZIX,JA70003000,,1844903,3664524.8916,8222.4168,,
G90258,2015070301,2015,Lightning,2015-G90258,2204.6,2015 ROLLOVER,20150703,20150704132259,20150624,OZIX,JA70003000,,1844904,22046464.2542,37762.6908,,
K50724,2015093001,2015,Person,2015-K50724,151.9,2015 ROLLOVER,20150930,20150901082123,20150827,OZIX,JA70003000,,1844989,1519482.0464,6105.4204,,
K50726,2015082701,2015,Person,2015-K50726,4,2015 ROLLOVER,20150827,20150828092651,20150827,OZIX,JA70003000,,1844990,40226.4182,853.1061000000001,,
K60008,2015042801,2015,Person,2015-K60008,10.9,2015 ROLLOVER,20150609195938,20150609130127,20150411,OZIX,JA70003000,,1844991,109614.8119,2193.7045000000003,,
K60034,2015050801,2015,Person,2015-K60034,1.1,2015 ROLLOVER,20150609183545,20150609113706,20150504,OZIX,JA70003000,,1844992,11103.4746,569.6596000000001,,
K60080,2015052201,2015,Person,2015-K60080,0.7000000000000001,2015 ROLLOVER,20150619092609,20150619092922,20150520,OZIX,JA70003000,,1844993,7576.183,361.8373,,
N60232,2015070201,2015,Lightning,2015-N60232,4.9,2015 ROLLOVER,20150702,20150731104444,20150630,OZIX,JA70003000,,1845075,49103.3634,1100.796,,
N60257,2015071501,2015,Lightning,2015-N60257,1.8,2015 ROLLOVER,20150715,20150804151711,20150627,OZIX,JA70003000,,1845076,18212.8429,707.2745,,
N60282,2015070602,2015,Lightning,2015-N60282,2.5,2015 ROLLOVER,20150706,20150731103448,20150627,OZIX,JA70003000,,1845077,25060.7009,757.3717,,
N60449,2015072501,2015,Lightning,2015-N60449,17.6,2015 ROLLOVER,20150725,20150730110958,20150720,OZIX,JA70003000,,1845078,176701.59100000001,1936.1786000000002,,
R90055,2015110301,2015,Person,2015-R90055,1.5,2015 ROLLOVER,20151103163837,20151103163837,20150530,Ozi,JA70003000,,1845138,15827.1892,936.9547,,
R90088,2015110401,2015,Lightning,2015-R90088,25.7,2015 ROLLOVER,20151104101026,20151104101026,20150622,Ozi,JA70003000,,1845139,257228.9945,3624.2164000000002,,
R90152,2015091801,2015,Person,2015-R90152,7.7,2015 ROLLOVER,20151027111556,20151027111556,20150916,Ozi,JA70003000,,1845140,77391.813,1226.4919,,
V10176,2015061801,2015,Person,2015-V10176,0.2,2015 ROLLOVER,20150618,20150921122716,20150617,Non-corrected ground GPS                          ,JA70003000,,1845141,2689.4087,344.45160000000004,,
V10247,2015080701,2015,Lightning,2015-V10247,2911.6,2015 ROLLOVER,20150807,20150807131858,20150630,OZIX,JA70003000,,1845142,29116531.4993,49187.1283,,
V10267,2015070301,2015,Person,2015-V10267,7.7,2015 ROLLOVER,20150703,20150828190323,20150703,OZIX,JA70003000,,1845143,77618.4841,1946.8987000000002,,
V10370,2015082301,2015,Person,2015-V10370,1385.1000000000001,2015 ROLLOVER,20150823,20150823205941,20150802,OZIX,JA70003000,,1845144,13851739.9499,23641.5147,,
G90261,2015070401,2015,Lightning,2015-G90261,1280.4,2015 ROLLOVER,20150704,20150705173935,20150623,OZIX,JA70003000,,1844905,12804479.861,20408.8729,,
G90263,2015070401,2015,Lightning,2015-G90263,13498.6,2015 ROLLOVER,20150704,20150707160707,20150624,OZIX,JA70003000,,1844906,134986881.0396,78858.0309,,
G90267,2015070402,2015,Lightning,2015-G90267,6254.2,2015 ROLLOVER,20150704,20150728170138,20150624,OZIX,JA70003000,,1844907,62542886.1803,33148.6714,,
G90269,2015070501,2015,Lightning,2015-G90269,1050.8,2015 ROLLOVER,20150705,20150706182959,20150625,OZIX,JA70003000,,1844908,10508029.7309,21418.5595,,
K60087,2015060901,2015,Lightning,2015-K60087,2.7,2015 ROLLOVER,20150609,20150904144137,20150523,OZIX,JA70003000,,1844994,27098.5539,1020.773,,
K60118,2015061101,2015,Person,2015-K60118,2.2,2015 ROLLOVER,20150619113850,20150619114120,20150608,OZIX,JA70003000,,1844995,22801.6807,878.7437,,
K60311,2015072101,2015,Lightning,2015-K60311,3,2015 ROLLOVER,20150721,20150822110309,20150707,OZIX,JA70003000,,1844996,30701.0974,824.4208,,
N60450,2015072601,2015,Lightning,2015-N60450,7.5,2015 ROLLOVER,20150726224205,20150729093622,20150707,OZIX,JA70003000,,1845079,75713.7475,1360.1383,,
